;Post code;Sub-municipality name (Dutch)
707;7602.0;
708;6010.0;
709;7321.0;
710;7906.0;
711;7608.0;
712;1315.0;
713;1473.0;
714;2280.0;Grobbendonk
715;2040.0;Berendrecht-Zandvliet-Lillo
716;5372.0;
717;5354.0;
718;5003.0;
719;5340.0;
720;5021.0;
721;3790.0;Moelingen
722;3900.0;Overpelt
723;8433.0;Slijpe
724;8583.0;Bossuit
725;8810.0;Lichtervelde
726;8870.0;Izegem
727;6661.0;
728;6673.0;
729;6681.0;
730;6690.0;
731;6792.0;
732;6833.0;
733;1770.0;Liedekerke
734;3473.0;Waanrode
735;3020.0;Winksele
736;1981.0;Hofstade
737;6660.0;
738;6717.0;
739;6761.0;
740;6950.0;
741;6990.0;
742;3381.0;Kapellen
743;3052.0;Blanden
744;1673.0;Beert
745;3140.0;Keerbergen
746;5333.0;
747;3650.0;Dilsen
748;3665.0;As
749;3720.0;Kortessem
750;3970.0;Leopoldsburg
751;8650.0;Klerken
752;8750.0;Wingene
753;8770.0;Ingelmunster
754;6640.0;
755;6687.0;
756;1570.0;Tollembeek
757;9032.0;Wondelgem
758;9630.0;Munkzwalm
759;9130.0;Kieldrecht
760;4540.0;
761;4367.0;
762;4834.0;
763;4602.0;
764;4020.0;
765;4300.0;
766;4608.0;
767;7712.0;
768;6032.0;
769;1081.0;Koekelberg
770;1050.0;Sint-Gillis
771;2330.0;Merksplas
772;2500.0;Lier
773;5012.0;
774;5502.0;
775;5572.0;
776;5580.0;
777;3560.0;Lummen
778;3690.0;Zutendaal
779;6723.0;
780;6820.0;
781;6940.0;
782;1880.0;Kapelle-op-den-Bos
783;1790.0;Hekelgem
784;3293.0;Kaggevinne
785;1785.0;Merchtem
786;9406.0;Outer
787;9971.0;Lembeke
788;9403.0;Neigem
789;9940.0;Evergem
790;9982.0;Sint-Jan-in-Eremo
791;9572.0;Sint-Martens-Lierde
792;9280.0;Lebbeke
793;4610.0;
794;4851.0;
795;4680.0;
796;4790.0;
797;4800.0;
798;4870.0;
799;4800.0;
800;4701.0;
801;4032.0;
802;6533.0;
803;7120.0;
804;7534.0;
805;7543.0;
806;7943.0;
807;6540.0;
808;7536.0;
809;7901.0;
810;7903.0;
811;7141.0;
812;1011.0;Brussel
813;1030.0;Schaarbeek
814;1450.0;
815;1461.0;
816;2840.0;Reet
817;3061.0;Leefdaal
818;1547.0;Bever
819;9400.0;Denderwindeke
820;9960.0;Assenede
821;9400.0;Nederhasselt
822;4650.0;
823;4840.0;
824;4537.0;
825;7513.0;
826;7850.0;
827;7971.0;
828;7501.0;
829;7160.0;
830;7643.0;
831;7642.0;
832;7870.0;
833;6543.0;
834;7387.0;
835;1035.0;Schaarbeek
836;1348.0;
837;1470.0;
838;2930.0;Brasschaat
839;2920.0;Kalmthout
840;2180.0;Ekeren
841;2660.0;Hoboken
842;5560.0;
843;3500.0;Hasselt
844;3511.0;Kuringen
845;3570.0;Alken
846;3920.0;Lommel
847;8450.0;Bredene
848;8501.0;Heule
849;8510.0;Bellegem
850;8551.0;Heestert
851;8793.0;Sint-Eloois-Vijve
852;8860.0;Lendelede
853;8950.0;Nieuwkerke
854;8953.0;Wijtschate
855;6750.0;
856;6762.0;
857;1652.0;Alsemberg
858;1701.0;Dilbeek
859;1620.0;Drogenbos
860;5060.0;
861;5374.0;
862;612.0;
863;5589.0;
864;5620.0;
865;5575.0;
866;5650.0;
867;5334.0;
868;3545.0;Halen
869;8540.0;Deerlijk
870;8587.0;Helkijn
871;8906.0;Elverdinge
872;6663.0;
873;6724.0;
874;1935.0;Zaventem
875;3090.0;Overijse
876;1851.0;Humbeek
877;3001.0;Heverlee
878;9050.0;Gentbrugge
879;9930.0;Zomergem
880;9890.0;Dikkelvenne
881;4530.0;
882;4252.0;
883;4783.0;
884;4041.0;
885;4771.0;
886;7033.0;
887;6593.0;
888;6141.0;
889;7973.0;
890;6596.0;
891;7940.0;
892;7781.0;
893;6441.0;
894;7890.0;
895;6238.0;
896;7063.0;
897;6224.0;
898;7030.0;
899;1180.0;Ukkel
900;1421.0;
901;2230.0;Herselt
902;2100.0;Deurne
903;5362.0;
904;3631.0;Uikhoven
905;3971.0;Heppen
906;8500.0;Kortrijk
907;8710.0;Wielsbeke
908;6743.0;
909;6790.0;
910;6811.0;
911;6856.0;
912;6887.0;
913;6972.0;
914;3221.0;Nieuwrode
915;3000.0;Leuven
916;1980.0;Zemst
917;3220.0;Kortrijk-Dutsel
918;1861.0;Wolvertem
919;1760.0;Pamel
920;1670.0;Pepingen
921;1755.0;Leerbeek
922;3460.0;Bekkevoort
923;7022.0;
924;7533.0;
925;7090.0;
926;7032.0;
927;1082.0;Sint-Agatha-Berchem
928;1400.0;
929;2812.0;Muizen
930;2910.0;Essen
931;2990.0;Wuustwezel
932;9320.0;Erembodegem
933;9090.0;Melle
934;9230.0;Wetteren
935;9880.0;Aalter
936;9970.0;Kaprijke
937;9420.0;Mere
938;9260.0;Schellebelle
939;4721.0;
940;4350.0;
941;4100.0;
942;4852.0;
943;4218.0;
944;7511.0;
945;7800.0;
946;9500.0;Ophasselt
947;4607.0;
948;4730.0;
949;4050.0;
950;4601.0;
951;4784.0;
952;4920.0;
953;4042.0;
954;7320.0;
955;7830.0;
956;7641.0;
957;1040.0;Brussel
958;1342.0;
959;1472.0;
960;2200.0;Herentals
961;2900.0;Schoten
962;2240.0;Zandhoven
963;2940.0;Stabroek
964;5500.0;
965;5022.0;
966;5541.0;
967;5542.0;
968;5520.0;
969;3550.0;Zolder
970;3793.0;Teuven
971;3803.0;Duras
972;3830.0;Wellen
973;3831.0;Herten
974;8370.0;Uitkerke
975;8430.0;Wilskerke
976;8680.0;Koekelare
977;8740.0;Pittem
978;8900.0;Dikkebus
979;6662.0;
980;6672.0;
981;6970.0;
982;1831.0;Diegem
983;3320.0;Hoegaarden
984;6860.0;
985;5351.0;
986;5540.0;
987;5550.0;
